font_name,capitals,cursive,display,italic,monospace,serif,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,delicate,disorderly,dramatic,formal,fresh,friendly,gentle,graceful,happy,legible,modern,playful,pretentious,sharp,sloppy,soft,strong,technical,thin,warm,wide
ABeeZee italic,0.0,4.254,20.125999999999998,91.68800000000002,0.0,9.698,54.983999999999995,35.258,37.452,54.025999999999996,22.692,39.814,86.48400000000001,68.212,24.668,23.032,48.574,29.160000000000004,38.339999999999996,70.556,88.9,80.33,92.494,66.94800000000001,54.476,79.524,42.038,36.588,30.32,80.436,48.172000000000004,86.386,44.983999999999995,30.662,63.69,63.234,44.86200000000001
ABeeZee regular,0.0,4.3,8.03,9.34,0.0,9.738,19.522,13.9,34.704,47.844,19.128,50.79,88.07000000000001,59.926,9.680000000000001,9.348,41.123999999999995,14.196000000000002,17.576,84.832,90.10600000000001,74.86999999999999,90.55799999999999,56.108000000000004,38.348,90.178,24.508,14.918000000000001,22.427999999999997,71.376,16.662,81.384,49.382,15.9,53.641999999999996,56.94199999999999,50.711999999999996
Abel regular,0.0,4.3,6.605999999999999,9.328,0.0,10.002,25.9,20.827999999999996,15.096,27.261999999999993,27.454,76.94200000000001,95.3,49.176,20.964000000000002,13.972,46.513999999999996,22.506,16.764,77.99600000000001,79.004,66.402,90.50399999999999,45.022000000000006,31.874000000000002,75.96,31.126000000000005,18.076,12.302000000000001,72.716,25.718,94.176,29.895999999999997,20.704,84.176,36.562,35.578
Abhaya Libre 500,0.0,4.224,7.2219999999999995,9.342000000000002,0.0,87.0,34.894,28.52,31.072000000000003,47.522000000000006,9.476,44.888,87.748,65.196,4.254,20.778,49.03,11.67,23.163999999999998,91.77799999999999,91.602,75.13399999999999,97.25,64.37,44.182,90.03399999999999,36.470000000000006,20.096,26.339999999999996,87.714,19.406,86.39399999999999,45.654,38.25599999999999,63.282,52.54,45.864
Abhaya Libre 600,0.0,4.236,8.498,9.341999999999999,0.0,85.672,36.548,28.486,33.290000000000006,51.078,9.578,39.432,86.922,66.276,4.038,20.583999999999996,47.862,12.142,25.282000000000004,91.952,92.68199999999999,75.222,96.826,65.914,45.55,89.90200000000002,38.440000000000005,21.598,26.170000000000005,88.32400000000001,19.288,84.16,47.524,40.856,60.48599999999999,56.846000000000004,46.028
Abhaya Libre 700,0.0,4.224000000000001,7.268000000000001,9.34,0.0,87.18199999999999,39.464,27.706,42.8,59.182,11.662,35.733999999999995,81.15,67.12,9.959999999999999,26.906,38.086,10.394,29.830000000000002,90.356,93.54799999999999,74.08,94.926,69.32399999999998,45.028000000000006,93.99000000000001,41.682,23.851999999999997,38.434000000000005,83.91,17.95,74.11399999999999,57.42999999999999,46.355999999999995,48.275999999999996,66.116,50.745999999999995
Abhaya Libre 800,0.0,4.234,7.151999999999999,9.344,0.0,87.482,34.416000000000004,33.158,60.239999999999995,75.468,15.586000000000002,33.21399999999999,67.784,71.904,19.101999999999997,36.004000000000005,34.086,13.604000000000003,40.480000000000004,82.324,92.122,73.63000000000001,93.08200000000001,72.71399999999998,49.028000000000006,91.50800000000001,49.982,29.380000000000003,56.89,76.402,20.588,59.93399999999999,69.89999999999999,52.544000000000004,30.612000000000002,78.98400000000001,55.024
Abhaya Libre regular,0.0,4.252000000000001,14.651999999999997,9.341999999999999,0.0,86.024,35.284,26.127999999999997,30.386000000000003,46.53,9.488,48.198,87.804,64.042,3.6700000000000004,17.63,48.394,11.751999999999999,19.986,91.072,91.088,76.102,96.76,63.834,45.275999999999996,89.58400000000002,35.458000000000006,17.541999999999998,25.734,87.282,18.688,85.672,45.104,35.535999999999994,64.108,53.06,45.931999999999995
Abril Fatface regular,0.0,4.410000000000001,8.634,9.35,0.0,85.32,35.074,36.14,55.52,69.702,21.334,36.698,68.86600000000001,68.776,21.824,40.022000000000006,35.652,17.954,43.291999999999994,78.976,90.20400000000001,73.29400000000001,91.572,70.72200000000001,46.410000000000004,87.09200000000001,52.732000000000006,30.976,51.855999999999995,70.64000000000001,18.312,57.80800000000001,66.586,54.00999999999999,37.112,75.304,54.44200000000001
Actor regular,0.0,4.3,8.222,9.338,0.0,9.756,19.058,14.792000000000002,33.824,49.041999999999994,18.522,50.903999999999996,86.98400000000001,61.948,9.906,13.128,41.632,14.447999999999999,19.934,84.196,88.618,73.762,90.086,56.112,38.522000000000006,88.912,26.182,17.32,24.212,72.06,18.242,79.21199999999999,49.495999999999995,20.067999999999998,53.00999999999999,59.562,50.36
